@relation clean_data

@attribute Location {Mumbai,Pune,Chennai,Coimbatore,Hyderabad,Jaipur,Kochi,Delhi,Bangalore,Kolkata,Ahmedabad}
@attribute Year numeric
@attribute Kilometers_Driven numeric
@attribute Fuel_Type {CNG,Diesel,Petrol,LPG,Electric}
@attribute Mileage numeric
@attribute Engine numeric
@attribute Power numeric
@attribute Seats numeric
@attribute Price numeric

@data
Delhi,2013,62000,Diesel,19.01,1461,108.45,5,7.75
Bangalore,2012,87615,Petrol,14.53,1798,138.1,5,6.75
Kolkata,2013,72000,Diesel,11.18,2696,184,7,12.5
Coimbatore,2010,35000,Diesel,12.4,2698,179.5,5,11.5
Jaipur,2014,55431,Petrol,16.09,1598,103.5,5,6.98
Kochi,2009,83816,Petrol,14,1061,64,5,1.85
Delhi,2018,50075,Diesel,24.3,1248,88.5,5,8.63
Pune,2017,52000,Petrol,18.15,1198,82,5,4.85
Chennai,2013,85000,Diesel,11.74,2987,254.8,5,28
Delhi,2013,62000,Diesel,22.07,1199,73.9,5,5
Kochi,2008,90000,Petrol,19.7,796,46.3,5,1.25
Coimbatore,2014,19698,Petrol,25.4,624,37.5,4,1.53
Kochi,2017,22033,Diesel,25.32,1198,77,6,5.58
Bangalore,2014,35487,Petrol,18.5,1197,82.9,5,4.74
Mumbai,2014,46374,Petrol,14.62,1999,149.92,5,8.85
Ahmedabad,2016,52001,Petrol,14.28,1798,138.03,5,10.11
Bangalore,2008,58005,Diesel,14.9,1991,112.2,5,4.25
Jaipur,2012,70704,Petrol,11.25,2694,163.7,7,10.95
Jaipur,2014,75000,Diesel,24.4,1120,71,5,3.85
Kochi,2012,75800,Diesel,16.55,2498,105,6,5.5
Delhi,2015,13648,Diesel,17.11,1968,174.33,5,21.43
Kolkata,2014,52000,Diesel,22.9,1248,74,5,4.25
Delhi,2014,53000,Diesel,17.8,1248,75,5,3.3
Chennai,2013,65650,Diesel,28.4,1248,74,5,3.85
Kolkata,2015,54000,Petrol,18.9,1197,82,5,3.6
Kochi,2015,39000,Petrol,15.04,1598,103.2,5,3.99
Kolkata,2017,16542,Petrol,25.17,799,53.3,5,3.3
Hyderabad,2010,32000,Petrol,20.36,1197,78.9,5,2.07
Hyderabad,2010,121812,Diesel,13.29,1995,147.6,5,7.75
Mumbai,2010,39300,Petrol,18.2,998,67.1,5,2.25
Bangalore,2017,22000,Diesel,13.68,2393,147.8,8,16.5
Delhi,2010,72000,Diesel,20,1399,68,5,2.75
Pune,2015,58000,Petrol,11.74,1796,186,5,26.7
Chennai,2011,65000,Diesel,15.8,2148,170,5,10
Jaipur,2016,178000,Diesel,25,1396,69,5,2.5
Mumbai,2012,65664,Diesel,16.55,1968,140,5,13.5
Coimbatore,2007,63000,Petrol,16.4,1497,78,5,1.85
Pune,2019,15369,Diesel,0,1950,194,5,35.67
Mumbai,2016,63000,Diesel,24.52,1248,88.5,7,8.15
Mumbai,2018,13000,Diesel,22.1,1396,88.7,5,10.5
Mumbai,2008,73000,Petrol,8.5,4806,500,5,14.5
Kochi,2015,55729,Diesel,15.1,2179,140,7,9.65
Kochi,2012,45178,Petrol,16.95,1197,78.9,5,3.48
Coimbatore,2015,56066,Diesel,19.64,1461,108.5,5,6.92
Delhi,2016,37300,Petrol,16.5,1198,86.8,5,6.46
Jaipur,2014,56000,Diesel,18.53,1968,187.74,5,29.5
Chennai,2008,111111,Diesel,17.8,1399,0,5,2
Hyderabad,2006,230000,Petrol,12.4,1998,132,8,4.5
Hyderabad,2012,104000,Diesel,12.8,2494,102,7,11.75
Jaipur,2005,87591,Petrol,0,1086,0,5,1.3
Pune,2012,95100,Diesel,22.9,1248,74,5,3.75
Kochi,2017,70000,Petrol,17.57,1193,88.7,5,4.5
Hyderabad,2016,54944,Petrol,18,1198,86.7,5,4.82
Jaipur,2012,70337,Diesel,20,1399,68,5,2.8
Delhi,2013,99638,Diesel,23.2,1248,73.94,5,3.11
Delhi,2009,52000,Petrol,17.8,1497,117.3,5,3.25
Pune,2011,75000,Diesel,16.73,1995,218,5,13.9
Bangalore,2009,95980,Petrol,20.36,1197,78.9,5,2.25
Hyderabad,2016,16000,Petrol,18.9,1197,82,5,5.75
Mumbai,2007,73745,Petrol,17,1086,0,5,2.1
Delhi,2016,18949,Petrol,17.8,1198,86.7,5,5
Coimbatore,2014,107000,Diesel,13,2982,168.5,7,16.5
Delhi,2018,48367,Diesel,17.68,1968,174.33,5,39.58
Delhi,2013,57000,Diesel,22.7,1498,89.84,5,5.5
Kolkata,2014,58000,Diesel,15.1,2179,140,7,8.1
Kolkata,2015,30000,Diesel,25.8,1498,98.6,5,3.5
Ahmedabad,2013,34212,Diesel,22.07,1199,73.9,5,2.79
Bangalore,2010,70002,Diesel,16.2,1493,110,5,3.45
Delhi,2016,62000,Petrol,18.9,998,67.1,5,4.45
Pune,2010,62001,Petrol,15.26,1598,103.5,5,2.65
Mumbai,2011,78958,Diesel,23,1396,90,5,3.8
Pune,2014,30180,Petrol,18.5,1197,82.85,5,4.65
Kolkata,2017,32851,Petrol,19.83,1198,67,7,3.95
Pune,2010,30000,Diesel,14.94,2967,241.4,5,9.8
Coimbatore,2009,66000,Petrol,17,1197,80,5,2.7
Ahmedabad,2010,93850,Petrol,14,796,35,5,2.41
Hyderabad,2014,53000,Petrol,17.71,1197,78.9,5,3.9
Delhi,2011,78000,Diesel,14.74,2993,270.9,5,24
Kolkata,2012,65000,Diesel,16,2179,140,7,5.75
Mumbai,2014,40000,Diesel,22.32,1582,126.32,5,5.25
Coimbatore,2017,30000,Diesel,11.36,2755,171.5,7,19.25
Bangalore,2017,38053,Petrol,15.1,1196,73,5,3.91
Mumbai,2014,25500,Petrol,25.4,624,37.5,4,2.15
Delhi,2015,56087,Diesel,22.69,1995,190,5,20.75
Ahmedabad,2010,71088,Petrol,13.5,1799,130,5,3.35
Bangalore,2014,55000,Diesel,12.99,2494,100.6,7,11.11
Coimbatore,2014,32700,Diesel,23.3,1984,150,5,20
Mumbai,2016,39882,Petrol,19.15,1198,75.94,5,6.55
Mumbai,2009,128000,Petrol,10.8,2497,215,5,7
Mumbai,2016,55000,Diesel,24.3,1248,88.5,5,7.5
Pune,2005,102000,Petrol,17,1086,0,5,0.85
Kolkata,2014,53753,Diesel,15,2143,107.3,5,16.75
Pune,2018,10250,Diesel,22,1582,126.2,5,10.95
Coimbatore,2011,43874,Petrol,18.9,998,67.1,5,2.45
Kolkata,2017,32684,Petrol,21.9,624,37.48,4,3.23
Kolkata,2014,42000,Diesel,12.05,2179,120,8,7.75
Pune,2009,28352,Petrol,11.7,1796,178,5,9.35
Bangalore,2013,89900,CNG,26.6,998,58.16,5,3.25
Pune,2007,47700,Petrol,10.8,2354,152,5,5.25
Kochi,2015,55000,Diesel,21.21,1498,103.2,5,7.25
Jaipur,2017,44285,Petrol,20.73,1373,91.1,5,7.47
Coimbatore,2016,54000,Diesel,16,2179,140,7,13.25
Hyderabad,2016,30232,Petrol,21.1,1197,85.8,5,5.81
Kolkata,2014,88500,Petrol,24.07,998,67.1,5,2.6
Kochi,2017,13372,Petrol,19,2996,362.07,2,54
Chennai,2019,12645,Petrol,17,1591,121.3,5,11.5
Coimbatore,2010,94385,Petrol,19.7,796,46.3,5,1.6
Mumbai,2015,31821,Diesel,20.58,1995,143,5,17.22
Delhi,2015,12000,Petrol,19,1199,88.7,5,6
Kochi,2012,88578,Petrol,13.5,1799,130,5,3.95
Kolkata,2014,44965,Diesel,19.27,2143,170,5,17.95
Kochi,2014,45044,Diesel,25.8,1498,98.6,5,3.7
Kochi,2016,34204,Petrol,22,1197,81.8,5,5.43
Coimbatore,2008,80759,Petrol,17,1086,0,5,1.67
Pune,2012,91235,Diesel,11.5,2982,171,7,13.49
Chennai,2014,38800,Petrol,18.6,1199,76.8,5,2.85
Kochi,2013,83000,Diesel,21.14,1498,103.52,5,4.75
Mumbai,2018,41283,Petrol,20.73,1373,91.1,5,9.9
Mumbai,2013,23000,Petrol,11.05,2894,444,4,37
Coimbatore,2014,48000,Diesel,21.76,1995,190,5,26.5
Chennai,2015,48214,Diesel,17.11,1968,174.33,5,23.32
Kolkata,2016,35000,Diesel,22.9,1248,74,5,6.25
Coimbatore,2010,35277,Petrol,7.81,5461,362.9,5,30
Pune,2016,54620,Diesel,21.66,1498,103.52,5,9.86
Kochi,2012,136997,Diesel,17.2,1968,138.1,5,8.5
Jaipur,2019,14322,Petrol,21.1,814,55.2,5,4.23
Kolkata,2012,65634,Diesel,22.07,1199,73.9,5,3.5
Kolkata,2016,6000,Petrol,20.63,1198,67.06,5,2.5
Delhi,2013,33280,Petrol,19.4,1198,86.8,5,2.39
Kochi,2013,29000,Petrol,14.8,1595,120.7,5,11.25
Ahmedabad,2015,42831,Diesel,26,1498,98.6,5,7.11
Ahmedabad,2016,90000,Diesel,12.99,2494,100.6,7,10.9
Mumbai,2017,24005,Petrol,20.4,1197,81.8,5,6.2
Kochi,2012,32792,Diesel,15.1,2179,140,7,7.9
Mumbai,2014,147898,Diesel,22.7,1498,89.84,5,4.42
Chennai,2012,131765,Diesel,13,2982,168.5,7,13.5
Jaipur,2013,65000,Diesel,21.5,1498,108.5,5,6.25
Mumbai,2010,66123,Diesel,20,1399,68,5,2.1
Coimbatore,2015,41000,Diesel,15.3,2993,258,5,45
Bangalore,2017,23550,Diesel,19.27,2143,167.62,5,33.66
Delhi,2012,45000,Petrol,19.4,1198,86.8,5,3.65
Bangalore,2013,60000,Petrol,20.36,1197,78.9,5,2.75
Kolkata,2016,44414,Diesel,17.9,2143,170,5,42.5
Mumbai,2019,1000,Petrol,18.9,1197,81.86,5,6.5
Mumbai,2012,62500,Diesel,17.68,1968,174.33,5,19
Jaipur,2013,21000,Petrol,14.4,1598,103.6,5,4.45
Bangalore,2017,8525,Diesel,16.6,1998,112,5,23
Mumbai,2014,29000,Diesel,22.54,1396,88.73,5,8.35
Jaipur,2014,40000,Diesel,17.68,1968,174.33,5,22.95
Kochi,2012,88000,Diesel,25.44,936,57.6,5,1.5
Chennai,2012,53537,Petrol,13.7,1798,157.75,5,6.89
Hyderabad,2006,216000,Diesel,17.8,1399,68,5,1.45
Jaipur,2014,51000,Diesel,22.48,1995,190,5,33.5
Hyderabad,2007,118500,Petrol,12.9,1598,102.5,5,1.25
Mumbai,2012,63000,Diesel,22.07,1199,73.9,5,4.2
Bangalore,2015,25000,Diesel,19.98,1461,108.5,8,6.75
Kochi,2014,37382,Diesel,13,2143,201.1,5,32
Delhi,2017,24773,Petrol,21.4,1197,83.1,5,7.5
Kochi,2012,62000,Diesel,22.32,1582,126.32,5,4.6
Kochi,2017,52340,Petrol,19.81,1086,68.05,5,4.04
Coimbatore,2016,56739,Diesel,15.4,1997,120,7,10.31
Chennai,2018,36091,Diesel,12.7,2179,187.7,5,55.76
Mumbai,2010,120000,Diesel,20,1399,68,5,2.6
Ahmedabad,2016,33000,Diesel,25.47,1248,88.5,7,8.5
Kolkata,2007,60006,Petrol,0,0,0,0,2.95
Jaipur,2014,52000,Diesel,25.8,1498,98.6,5,3.5
Kolkata,2015,43571,Petrol,20.36,1197,78.9,5,3.55
Hyderabad,2013,50000,Diesel,25.8,1498,98.6,5,3.25
Delhi,2008,113000,Diesel,17.5,1896,106,5,4.5
Chennai,2014,90000,Diesel,19.87,1461,83.8,5,5.35
Mumbai,2017,29000,Diesel,17.45,1493,100,7,6.5
Kochi,2016,20000,Diesel,24.3,1248,88.5,5,9
Jaipur,2016,61012,Petrol,18.6,1197,81.83,5,6
Pune,2009,87459,Petrol,14.7,1390,85,5,2.75
Delhi,2010,70500,Petrol,15.64,1193,64.1,5,1.5
Mumbai,2015,64103,Diesel,15.73,1968,174.33,5,19.9
Delhi,2014,76000,Petrol,14.7,1798,177.5,5,10
Kolkata,2014,104000,Diesel,23.59,1364,67.06,5,3
Kochi,2010,42001,Petrol,16.1,0,0,0,2.11
Kolkata,2014,37245,Petrol,14.8,1595,120.7,5,11.96
Jaipur,2013,45000,Diesel,27.4,1498,98.6,5,3.25
Mumbai,2012,117837,Diesel,22.32,1582,126.32,5,4.75
Delhi,2014,30000,Diesel,20.46,1461,83.8,5,5.95
Mumbai,2015,27057,Petrol,15.29,1591,121.3,5,8.15
Kolkata,2016,8500,Petrol,20.51,998,67,5,4.22
Delhi,2010,30500,Petrol,11.74,1796,186,5,10.5
Pune,2012,56000,Diesel,11.8,2967,246.7,5,45
Mumbai,2012,44000,Petrol,19.81,1086,68.05,5,2.9
Hyderabad,2017,10500,Petrol,14.3,1598,103.52,5,8.9
Coimbatore,2017,26000,Petrol,14.67,1798,177.46,5,26
Kolkata,2018,25166,Petrol,17.19,1197,81.86,5,8.22
Chennai,2014,64000,Diesel,25.8,1498,98.6,5,3.5
Hyderabad,2004,61000,Petrol,18.9,998,67.1,5,1.25
Coimbatore,2013,107000,Diesel,21.03,1461,65,5,3.7
Kolkata,2018,29161,Diesel,19.27,2143,167.62,5,39.41
Coimbatore,2013,32000,Petrol,22.5,998,67.04,5,2.65
Delhi,2015,46173,Diesel,19.01,1461,108.5,5,8.92
Kochi,2013,47000,Diesel,17.8,1248,0,5,4.1
Bangalore,2017,26327,Petrol,16.82,1998,189.08,4,35.67
Jaipur,2015,70436,Diesel,0,1498,99,0,3.6
Kochi,2007,200000,Diesel,17.2,1396,53.5,5,0.85
Mumbai,2016,60813,Petrol,18.6,1199,76.8,5,3.32
Hyderabad,2012,45000,Diesel,22.07,1199,73.9,5,3.6
Kolkata,2016,64000,Diesel,22.9,1248,74,5,6.8
Kochi,2012,41284,Diesel,20,1399,68.05,5,2.5
Mumbai,2019,14165,Diesel,11.36,2755,171.5,7,19.64
Kolkata,2011,67000,Diesel,11.72,2199,194.3,7,7
Kochi,2011,32572,Petrol,17.4,1497,117.3,5,3.87
Kochi,2018,14960,Petrol,18.6,1197,81.83,5,6.27
Mumbai,2015,55980,Diesel,19.27,2143,167.62,5,18.12
Kochi,2013,74000,Diesel,25.44,936,57.6,5,2.65
Coimbatore,2015,56847,Diesel,22.54,1396,88.73,5,7.2
Chennai,2015,121374,Diesel,12.99,2494,100.6,7,14.3
Mumbai,2013,52000,Diesel,20.77,1248,88.76,7,6.9
Mumbai,2014,118000,Diesel,12.8,2494,102,7,10.75
Kochi,2007,72000,Petrol,17,1086,0,5,0.95
Ahmedabad,2016,33915,Petrol,17.8,1497,117.3,5,8.09
Mumbai,2014,82002,Diesel,17.05,1995,184,5,18.5
Chennai,2017,33000,Diesel,24,1120,70,5,4.75
Kolkata,2016,34000,Diesel,28.09,1248,88.5,5,8.45
Kochi,2012,55000,Diesel,20.5,1598,103.6,5,3.5
Jaipur,2006,160538,Diesel,13.1,1493,82,5,1.8
Coimbatore,2014,60000,Diesel,19.91,1498,103.6,5,3.7
Jaipur,2017,49575,Petrol,18.7,1199,88.7,5,7.17
Kochi,2010,83000,Petrol,19.81,1086,68.05,5,1.75
Pune,2018,51346,Diesel,16.38,1995,183,5,21.99
Jaipur,2017,43000,Diesel,13.68,2393,147.8,7,18.65
Coimbatore,2011,35000,Petrol,19.7,796,35,5,1.85
Mumbai,2017,27872,Petrol,20.4,1197,81.8,5,5.95
Pune,2014,16514,Petrol,18.9,1197,82,5,3.75
Hyderabad,2012,120000,Diesel,22.9,1248,74,5,3.75
Hyderabad,2008,143275,Diesel,22,1582,126.2,5,2.6
Mumbai,2006,99000,Petrol,0,1086,0,5,1.75
Coimbatore,2010,52000,Petrol,17,1197,80,5,2.8
Bangalore,2017,29819,Diesel,11.57,2987,254.79,5,61.29
Hyderabad,2014,57000,Diesel,15.8,2148,170,5,18
Bangalore,2014,88500,Diesel,23.2,1248,73.94,5,4.35
Pune,2016,28000,Diesel,19.67,1582,126.2,5,13.75
Delhi,2010,67000,Petrol,19,998,66.1,5,2
Delhi,2016,26000,Diesel,19.64,1461,108.45,5,10
Coimbatore,2010,120000,Diesel,17.8,1248,76,5,1.65
Bangalore,2017,51982,Diesel,16.55,2993,258,5,45.77
Pune,2010,36000,Petrol,20.36,1197,78.9,5,3.25
Mumbai,2016,47000,Diesel,12.8,2494,102,7,12.8
Hyderabad,2002,60000,Petrol,17.3,993,60,5,0.55
Pune,2018,31025,Diesel,28.4,1248,74,5,7.15
Pune,2013,105000,Diesel,12.05,2179,120,8,7
Mumbai,2017,121900,Diesel,22.95,1248,74,5,3.75
Jaipur,2017,22695,Petrol,18.88,999,123.24,5,8.5
Kochi,2012,73000,Diesel,23.4,1248,74,5,4.35
Jaipur,2016,32227,Petrol,22.74,796,47.3,5,3.26
Kochi,2011,55000,Petrol,17,1497,118,5,4.21
Mumbai,2018,11287,Diesel,12.07,2967,241.4,7,70.36
Kochi,2009,48000,Diesel,17,1896,105,5,2.95
Jaipur,2012,54308,Petrol,17.1,1591,121.3,5,4.28
Kolkata,2009,78442,Petrol,16.8,1497,118,5,3.57
Coimbatore,2013,46000,Diesel,21.9,1396,88.8,5,3.11
Hyderabad,2014,45051,Petrol,15,1396,98.6,5,5.96
Ahmedabad,2011,69000,Diesel,20.54,1598,103.6,5,4.7
Pune,2014,49000,Petrol,17.4,1497,117.3,5,6.9
Pune,2018,45000,Diesel,22.95,1248,74,5,5.25
Delhi,2015,64000,Diesel,18.48,1995,177,5,28
Delhi,2009,60000,Petrol,18.9,1061,67,5,1.35
Coimbatore,2015,62178,Petrol,18.2,1199,88.7,5,4.85
Hyderabad,2012,58006,Diesel,15,1896,105,5,6.7
Kochi,2010,74000,Petrol,20.36,1197,78.9,5,3.1
Pune,2015,77771,Diesel,19.27,2143,170,5,18.64
Chennai,2012,45275,Petrol,20.36,1197,78.9,5,2.8
Kochi,2016,48000,Diesel,13.68,2393,147.8,7,20.25
Hyderabad,2015,31652,Diesel,17.68,1968,174.33,5,26.78
Mumbai,2010,109000,Diesel,12.99,2494,100.6,7,8.26
Hyderabad,2015,31978,Petrol,16.47,1198,73.9,5,3.89
Mumbai,2011,70000,Petrol,20.92,998,67.1,5,2.1
Coimbatore,2017,15000,Petrol,18,1497,117.3,5,12.69
Kochi,2013,59138,Diesel,17,1405,70,5,2.58
Delhi,2014,61726,Diesel,17.68,1968,174.33,5,20.77
Chennai,2015,48000,Diesel,17.9,2143,136,5,20.26
Kolkata,2006,58000,Petrol,0,1086,0,5,1.5
Hyderabad,2011,60020,Diesel,17.8,1248,0,5,2.5
Hyderabad,2014,77815,Petrol,23.1,998,67.04,5,4.25
Delhi,2017,29000,Diesel,17.9,2143,201.15,5,57
Hyderabad,2017,44000,Diesel,12.7,2179,187.7,5,44
Hyderabad,2011,108626,Diesel,20.54,1598,103.6,5,3.65
Kochi,2012,71791,Petrol,14,796,35,5,2.05
Hyderabad,2012,91931,Petrol,18.5,1198,86.8,5,3.13
Pune,2000,158000,Diesel,14.07,2956,83.1,7,1.5
Delhi,2012,91183,Diesel,18,1248,75,5,2.85
Hyderabad,2012,65000,Petrol,18.9,998,67.1,5,2.65
Pune,2015,88428,Diesel,16,2179,140,7,10.6
Mumbai,2008,138000,Diesel,17.1,1396,70,5,1.25
Mumbai,2018,18000,Petrol,16.02,1373,93.7,7,8.25
Kolkata,2011,60000,Petrol,11.7,2354,177.6,5,4.45
Hyderabad,2012,48000,Diesel,19.3,1248,73.9,5,3.7
Kolkata,2009,160000,Diesel,17.8,1399,68,5,2.8
Kochi,2008,40000,Petrol,17.7,1497,78,5,1.8
Mumbai,2014,51495,Diesel,17.68,1968,174.33,5,21.95
Coimbatore,2011,30000,Diesel,9.52,2993,313,4,49
Pune,2017,97430,Diesel,14.75,2967,245,7,62.67
Pune,2008,42496,CNG,26.3,998,67.1,5,1.4
Bangalore,2012,83000,Diesel,23,1396,90,5,5.5
Kochi,2009,37000,Petrol,16.95,1197,78.9,5,2.95
Hyderabad,2016,28503,Petrol,19,1199,88.7,5,6.86
Pune,2015,76496,Diesel,25.2,1248,74,5,6.15
Kolkata,2011,79152,Petrol,18.5,1197,82.85,5,3.3
Ahmedabad,2011,32000,Petrol,16.47,1198,73.9,5,2.55
Chennai,2009,35000,Petrol,19.7,796,46.3,5,1.5
Chennai,2004,105000,Petrol,11.3,1794,125,5,2.5
Pune,2006,56000,Petrol,19.7,796,46.3,5,1.4
Pune,2012,73000,Diesel,21.12,1248,88.8,5,3.4
Kolkata,2012,38000,Petrol,19.7,796,46.3,5,2.25
Kolkata,2013,775000,Diesel,19.3,1968,141,5,7.5
Coimbatore,2008,80000,Petrol,11.3,1794,125,5,2.8
Chennai,2016,24973,Petrol,18.6,1197,81.83,5,7.66
Delhi,2016,45000,Diesel,24.3,1248,88.5,5,7.15
Hyderabad,2010,87430,Petrol,17,1497,118,5,3.5
Kolkata,2014,133944,Diesel,18,1248,75,5,3.5
Coimbatore,2013,57000,Diesel,25.8,1498,98.6,5,3.45
Kochi,2016,27904,Petrol,21.1,814,55.2,5,3.55
Bangalore,2015,30717,Diesel,21.76,1995,190,5,25.99
Ahmedabad,2012,80000,Diesel,22.32,1582,126.32,5,5.25
Jaipur,2013,47304,Diesel,21.02,1248,88.8,5,2.9
Pune,2005,100000,Petrol,14.45,1984,227,5,2.05
Mumbai,2017,30000,Petrol,24.07,998,67.1,5,3.75
Kolkata,2014,68000,Diesel,22.7,1498,89.84,5,6.75
Hyderabad,2011,21000,Petrol,18,995,62,5,0.95
Jaipur,2017,21000,Diesel,19.33,1999,177,5,52
Kochi,2007,119000,Petrol,13.1,1997,141.1,5,3.91
Chennai,2019,13747,Petrol,14.67,1798,177.46,5,27.3
Delhi,2009,620000,Petrol,20.36,1197,78.9,5,2.7
Mumbai,2013,70000,Diesel,22.9,1248,74,5,3.5
Chennai,2016,18000,Petrol,18.5,1197,83.14,5,6.2
Mumbai,2011,83000,Diesel,23.08,1461,63.1,5,2.75
Pune,2015,130000,Diesel,23.4,1248,74,5,3.25
Kolkata,2012,63400,Diesel,17.8,1399,67,5,3.25
Pune,2003,65000,Petrol,17.3,993,60,5,0.65
Kolkata,2017,8350,Petrol,13.8,1998,192,5,35
Kolkata,2014,45000,Diesel,23.59,1364,67.05,5,3.25
Bangalore,2018,26200,Petrol,24.7,796,47.3,5,2.9
Bangalore,2011,11000,Petrol,18.9,796,47,5,2.9
Mumbai,2009,90000,Diesel,11,2993,235,5,17.75
Coimbatore,2015,74000,Petrol,11.07,2496,179.5,5,8.25
Hyderabad,2015,37081,Petrol,18.9,1197,82,5,5.77
Mumbai,2017,39000,Diesel,24.3,1248,88.5,5,9.49
Chennai,2008,99000,Diesel,12.07,2967,241.4,7,12.95
Chennai,2015,38000,Diesel,17.9,2143,136,5,20
Chennai,2007,72000,Petrol,16.1,796,37,4,1
Mumbai,2015,93000,Diesel,20.45,1461,83.8,5,7.1
Chennai,2017,5900,Diesel,21.43,1364,87.2,5,16.5
Hyderabad,2014,25000,Diesel,15.8,2148,170,5,26
Kochi,2010,68000,Diesel,21.1,1248,73.9,5,3.2
Kochi,2017,35676,Petrol,16,1497,117.3,7,9.48
Jaipur,2015,74310,Diesel,24.4,1120,71,5,4
Kochi,2014,59364,Diesel,14.21,2143,203,5,26.5
Bangalore,2014,41380,Petrol,14.8,1595,120.7,5,11.77
Mumbai,2017,33900,Diesel,15,2143,204,5,37
Hyderabad,2016,28000,Petrol,17.8,1497,117.3,5,8.75
Chennai,2007,50958,Petrol,17,1086,0,5,1.95
Pune,2011,93982,Petrol,17,1497,118,5,3.75
Mumbai,2010,95000,Petrol,16.2,1599,103.2,5,2.5
Delhi,2017,9000,Petrol,13.5,1999,246.74,5,34.5
Bangalore,2015,52516,Petrol,18,1198,86.7,5,4.65
Coimbatore,2015,20000,Petrol,18.86,1598,122,4,32
Chennai,2017,56451,Diesel,13.5,2987,282,5,62.81
Kolkata,2014,37000,Petrol,21.1,814,55.2,5,3.25
Coimbatore,2014,17400,Petrol,20.51,998,67.04,5,3.1
Chennai,2011,90207,Diesel,21.1,1248,73.9,5,3.91
Pune,2011,89616,Diesel,16.07,1995,181,5,11
Chennai,2014,85000,Diesel,13.49,2179,138.03,5,3.5
Hyderabad,2014,79271,Diesel,20.38,1968,143,5,16.5
Pune,2012,56000,Diesel,12.7,2179,187.7,5,30
Hyderabad,2010,85001,Diesel,12,2987,224,7,28
Jaipur,2018,12000,Diesel,13.5,2477,175.56,7,28
Pune,2010,125000,Petrol,19.7,796,46.3,5,0.92
Coimbatore,2013,53000,Petrol,14,1061,64,5,2.75
Pune,2017,34990,Diesel,12.7,2179,187.7,5,53.83
Hyderabad,2011,49768,Petrol,17.01,1591,121.3,5,4.95
Bangalore,2013,56000,Diesel,16.73,2993,218,5,33.5
Hyderabad,2013,75000,Diesel,14.74,2993,270.9,5,27.95
Kochi,2010,57000,Petrol,13.7,1798,157.75,5,7.25
Coimbatore,2017,37542,Diesel,15.73,1968,174.33,5,25.71
Jaipur,2014,95649,Diesel,12.7,2179,187.7,5,29.67
Kochi,2013,35299,Diesel,14.84,2143,170,5,19
Mumbai,2017,28464,Diesel,15.4,2179,120,7,13.05
Pune,2015,41000,Diesel,21.76,1995,190,5,25.5
Chennai,2017,9000,Petrol,15.4,1497,117.3,7,8.5
Pune,2010,92098,Diesel,16,2400,215,5,7.25
Jaipur,2005,5834,Petrol,13.2,1495,94,5,0.8
Coimbatore,2017,40250,Petrol,17.19,1197,81.86,5,6.9
Kolkata,2018,22397,Petrol,11.5,2996,367,5,70.99
Kochi,2015,20800,Petrol,21.1,814,55.2,5,2.25
